manufacturer,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,gwp_error_ratio,gwp_manufacturing_ratio,assembly_location,server_type,gwp_transport_ratio,gwp_eol_ratio
Dell,Workplace,Desktop,262,0.3500,42.27,4,EU,0.2214,0.6000,EU,,,
Dell,Workplace,Desktop,425,0.4870,96.48,4,EU,0.1694,0.4600,EU,,,
Dell,Workplace,Desktop,501,0.5100,120.35,4,EU,0.1737,0.4300,EU,,,
Dell,Workplace,Desktop,448,0.4000,86.1,4,EU,0.2031,0.5700,EU,,,
Dell,Workplace,Desktop,461,0.3900,86.0512,4,EU,0.1562,0.5800,CN,,,
Dell,Workplace,Desktop,258,0.3560,42.27,4,EU,0.2171,0.5950,EU,,,
Dell,Workplace,Desktop,416,0.4600,90.2,4,EU,0.1755,0.4800,EU,,,
Dell,Workplace,Desktop,491,0.5100,117.35,4,EU,0.1690,0.4300,EU,,,
Dell,Workplace,Desktop,245,0.3170,35.6,4,EU,0.2245,0.6300,EU,,,
Dell,Workplace,Desktop,398,0.4470,82.76,4,EU,0.1809,0.4910,EU,,,
Dell,Workplace,Desktop,485,0.4900,117.72,4,EU,0.1732,0.4500,EU,,,
Dell,Workplace,Desktop,551,0.4300,113.5,4,EU,0.1488,0.5400,CN,,,
Dell,Workplace,Desktop,522,0.4200,103.6457,4,EU,0.1552,0.5600,EU,,,
Dell,Workplace,Desktop,720,0.3500,118.1044,4,EU,0.1389,0.6200,CN,,,
Dell,Workplace,Desktop,594,0.5420,151.07,4,EU,0.1667,0.3960,EU,,,
Dell,Workplace,Desktop,537,0.5380,151.07,4,EU,0.1713,0.4140,EU,,,
Dell,Workplace,Desktop,451,0.4600,96.9,4,EU,0.1929,0.4890,EU,,,
Dell,Workplace,Desktop,509,0.5080,121.18,4,EU,0.1827,0.4360,EU,,,
Dell,Workplace,Monitor,433,0.1920,26.4405,6,EU,0.1986,0.7140,CN,,,
Dell,Workplace,Monitor,441,0.1880,26.4405,6,EU,0.2018,0.7200,CN,,,
Dell,Workplace,Monitor,422,0.1970,26.4405,6,EU,0.1967,0.7130,CN,,,
Dell,Workplace,Monitor,428,0.2070,28.3,6,EU,0.1986,0.7030,CN,,,
Dell,Workplace,Monitor,479,0.2350,35.8155,6,EU,0.1879,0.6700,CN,,,
Dell,Workplace,Monitor,468,0.2280,33.9405,6,EU,0.1944,0.6870,CN,,,
Dell,Workplace,Monitor,487,0.2320,35.8115,6,EU,0.1869,0.6670,CN,,,
Dell,Workplace,Monitor,472,0.2260,33.9,6,EU,0.1970,0.6860,CN,,,
Dell,Workplace,Monitor,487,0.2190,33.9,6,EU,0.1910,0.6890,CN,,,
Dell,Workplace,Monitor,463.0,0.243,36.14,6.0,EU,0.2289,0.703,China,,0,0
Dell,Workplace,Monitor,481.0,0.237,36.14,6.0,EU,0.2183,0.691,China,,0,0
Dell,Workplace,Monitor,544.0,0.24,38.7,6.0,EU,0.2151,0.645,China,,0.10800000000000001,0.006999999999999999
Dell,Workplace,Monitor,493,0.2290,35.8155,6,EU,0.1866,0.6690,CN,,,
Dell,Workplace,Monitor,519,0.1940,32.1,6,EU,0.2081,0.6950,CN,,,
Dell,Workplace,Monitor,606,0.3000,57.8955,6,EU,0.1650,0.5960,CN,,,
Dell,Workplace,Monitor,468,0.2340,34.7,6,EU,0.1816,0.6660,CN,,,
Dell,Workplace,Monitor,510,0.2450,39.5655,6,EU,0.1824,0.6560,CN,,,
Dell,Workplace,Monitor,463,0.2440,35.8155,6,EU,0.1987,0.6980,CN,,,
Dell,Workplace,Monitor,504,0.2340,37.6905,6,EU,0.1845,0.6620,CN,,,
Dell,Workplace,Monitor,505,0.2350,37.7,6,EU,0.1842,0.6600,CN,,,
Dell,Workplace,Monitor,505,0.2230,35.8,6,EU,0.2040,0.6830,CN,,,
Dell,Workplace,Monitor,499,0.2260,35.8,6,EU,0.1824,0.6770,CN,,,
Dell,Workplace,Monitor,523.0,0.262,43.67,6.0,EU,0.1816,0.662,China,,0,0
Dell,Workplace,Monitor,464.0,0.24,35.4,6.0,EU,0.2069,0.69,China,,0,0
Dell,Workplace,Monitor,481.0,0.231,35.4,6.0,EU,0.2037,0.682,China,,0,0
Dell,Workplace,Monitor,523.0,0.289,48.02,6.0,EU,0.1855,0.645,China,,0,0
Dell,Workplace,Monitor,542.0,0.27899999999999997,48.02,6.0,EU,0.1771,0.64,China,,0,0
Dell,Workplace,Monitor,565.0,0.245,40.76,6.0,EU,0.2159,0.626,China,,0.121,0.008
Dell,Workplace,Monitor,538.0,0.316,49.57,6.0,EU,0.2379,0.555,China,,0.121,0.008
Dell,Workplace,Monitor,587.0,0.326,56.5,6.0,EU,0.2385,0.5479999999999999,China,,0.11900000000000001,0.006999999999999999
Dell,Workplace,Monitor,508,0.2790,45.1905,6,EU,0.1909,0.6550,CN,,,
Dell,Workplace,Monitor,577,0.2060,37.7,6,EU,0.1924,0.6610,CN,,,
Dell,Workplace,Monitor,623,0.2530,50.8,6,EU,0.1862,0.6250,CN,,,
Dell,Workplace,Monitor,563.0,0.286,51.33,6.0,EU,0.1794,0.625,China,,0,0
Dell,Workplace,Monitor,579.0,0.283,52.21,6.0,EU,0.1762,0.627,China,,0,0
Dell,Workplace,Monitor,581.0,0.31,57.2,6.0,EU,0.179,0.6,China,,0,0
Dell,Workplace,Monitor,517.0,0.249,41.14,6.0,EU,0.1915,0.655,China,,0,0
Dell,Workplace,Monitor,597.0,0.28800000000000003,54.6,6.0,EU,0.1742,0.624,China,,0,0
Dell,Workplace,Monitor,586.0,0.327,55.76,6.0,EU,0.2338,0.525,China,,0.139,0.009000000000000001
Dell,Workplace,Monitor,642.0,0.33899999999999997,63.98,6.0,EU,0.2352,0.518,China,,0.135,0.009000000000000001
Dell,Workplace,Monitor,727.0,0.349,74.46,6.0,EU,0.2366,0.524,China,,0.11900000000000001,0.008
Dell,Workplace,Monitor,670.0,0.273,58.01,6.0,EU,0.1896,0.614,China,,0,0
Dell,Workplace,Monitor,739.0,0.331,78.17,6.0,EU,0.1705,0.57,China,,0,0
Dell,Workplace,Monitor,853.0,0.299,75.37,6.0,EU,0.2263,0.523,China,,0.168,0.01
Dell,Workplace,Monitor,729,0.3340,77.2155,6,EU,0.1646,0.5540,CN,,,
Dell,Workplace,Monitor,688.0,0.312,68.4,6.0,EU,0.173,0.575,China,,0,0
Dell,Datacenter,Server,12700,0.9020,2767.722,4,EU,1.1024,0.0950,EU,Rack,,
Dell,Datacenter,Server,6800,0.8080,1325,4,EU,1.0059,0.1830,EU,Rack,,
Dell,Datacenter,Server,6510,0.8070,1242.6,4,EU,0.9846,0.1850,EU,Rack,,
Dell,Datacenter,Server,5680,0.7020,947.8,4,EU,0.8363,0.2770,EU,Blade,,
Dell,Datacenter,Server,6570,0.7370,1152.4,4,EU,0.8965,0.2450,EU,Blade,,
Dell,Datacenter,Server,7460,0.7680,1370.1,4,EU,0.9236,0.2170,EU,Blade,,
Dell,Datacenter,Server,8970,0.7960,1715.6,4,EU,0.9565,0.1890,EU,Blade,,
Dell,Datacenter,Server,6180,0.7310,1063.464,4,EU,0.9385,0.2530,EU,Blade,,
Dell,Datacenter,Server,7000,0.7220,1215.012,4,EU,0.8957,0.2370,EU,Blade,,
Dell,Datacenter,Server,9150,0.8120,1770.396,4,EU,0.9847,0.1850,EU,Blade,,
Dell,Datacenter,Server,5380,0.7840,1011.342,4,EU,0.9591,0.2120,EU,Rack,,
Dell,Datacenter,Server,5260,0.7730,980.7,4,EU,0.9240,0.2220,EU,Rack,,
Dell,Datacenter,Server,5510,0.7870,1014.8,4,EU,0.9982,0.2080,EU,Rack,,
Dell,Datacenter,Server,5230,0.7760,987.3,4,EU,1.0516,0.2200,EU,Rack,,
Dell,Datacenter,Server,8150,0.8530,1760.3,4,EU,1.0135,0.1430,EU,Rack,,
Dell,Datacenter,Server,7360,0.8390,1480.002,4,EU,1.0136,0.1570,EU,Rack,,
Dell,Datacenter,Server,8230,0.8460,1636.368,4,EU,1.0668,0.1500,EU,Rack,,
Dell,Datacenter,Server,7260,0.8220,1433.574,4,EU,1.0441,0.1740,EU,Rack,,
Dell,Datacenter,Server,7730,0.8300,1760.3,4,EU,1.0220,0.1660,EU,Rack,,
Dell,Datacenter,Server,6840,0.8220,1359.6,4,EU,0.9898,0.1740,EU,Rack,,
Dell,Datacenter,Server,8160,0.92,1782.2,4,EU,,0.08,EU,Rack,,
Dell,Datacenter,Server,12700,0.94,2872.4,4,EU,,0.06,EU,Rack,,
Dell,Datacenter,Server,7490,0.8320,1473.5,4,EU,1.0053,0.1630,EU,Rack,,
Dell,Datacenter,Server,8970,0.8510,1813.32,4,EU,1.1059,0.1450,EU,Rack,,
Dell,Datacenter,Server,8640,0.8430,1760.3,4,EU,0.9815,0.1520,EU,Rack,,
Dell,Datacenter,Server,9180,0.8520,1858.872,4,EU,1.1547,0.1440,EU,Rack,,
Dell,Datacenter,Server,8090,0.8440,1628.1,4,EU,1.0272,0.1520,EU,Rack,,
Dell,Datacenter,Server,11600,0.8840,2470.3,4,EU,1.0690,0.1130,EU,Rack,,
Dell,Datacenter,Server,8990,0.91,1949.5,4,EU,,0.09,EU,Rack,,
Dell,Datacenter,Server,12600,0.8590,2622.306,4,EU,0.9762,0.1380,EU,Rack,,
Dell,Datacenter,Server,15600,0.8990,3325.7,4,EU,1.1218,0.0980,EU,Rack,,
Dell,Datacenter,Server,13300,0.8590,2764.218,4,EU,1.0677,0.1340,EU,Rack,,
Dell,Datacenter,Server,14100,0.8960,3012.126,4,EU,1.0993,0.0980,EU,Rack,,
Dell,Datacenter,Server,13200,0.94,2950.8,4,EU,,0.06,EU,Rack,,
Dell,Datacenter,Server,4260,0.7210,745,4,EU,0.9038,0.2690,EU,Tower,,
Dell,Datacenter,Server,4480,0.7320,799.8,4,EU,0.9286,0.2580,EU,Tower,,
Dell,Datacenter,Server,4800,0.7490,858.918,4,EU,0.8854,0.2390,EU,Tower,,
Dell,Datacenter,Server,4780,0.7520,852.8,4,EU,0.9686,0.2370,EU,Tower,,
Dell,Datacenter,Server,8520,0.8500,1697.688,4,EU,1.1514,0.1420,EU,Tower,,
Dell,Datacenter,Server,7810,0.8400,1577.238,4,EU,1.0051,0.1530,EU,Tower,,
Dell,Datacenter,Server,8560,0.8450,858.918,4,EU,1.0467,0.1460,EU,Tower,,
Dell,Datacenter,Server,8000,0.8260,1584.7,4,EU,1.0163,0.1640,EU,Tower,,
Dell,Workplace,Laptop,331,0.2300,36.83,4,EU,0.1994,0.7100,CN,,,
Dell,Workplace,Laptop,304,0.1620,27.5,4,EU,0.2237,0.7920,CN,,,
Dell,Workplace,Laptop,335,0.1740,27.72,4,EU,0.2030,0.7800,CN,,,
Dell,Workplace,Laptop,379,0.1360,24.92,4,EU,0.2032,0.8280,CN,,0.0340,
Dell,Workplace,Laptop,368,0.2570,51.6,4,EU,0.1902,0.7070,CN,,,
Dell,Workplace,Laptop,330,0.1380,23.52,4,EU,0.2121,0.8120,CN,,,
Dell,Workplace,Laptop,340,0.1600,29.95,4,EU,0.2000,0.7990,CN,,,
Dell,Workplace,Laptop,432,0.1210,24.66,4,EU,0.2014,0.8280,CN,,0.0480,
Dell,Workplace,Laptop,399,0.2800,60.3,4,EU,0.1955,0.6830,CN,,,
Dell,Workplace,Laptop,416,0.2310,51.6,4,EU,0.2284,0.7160,CN,,,
Dell,Workplace,Desktop,537,0.3440,86.5,4,EU,0.1583,0.5980,EU,,,
Dell,Workplace,Desktop,430,0.4930,98.89,4,EU,0.1721,0.4540,EU,,,
Dell,Workplace,Desktop,642,0.4620,139.6,4,EU,0.1417,0.4870,EU,,,
Dell,Workplace,Desktop,590,0.4960,137.51,4,EU,0.1627,0.4340,EU,,,
Dell,Workplace,Desktop,1502,0.7170,512.9,4,EU,0.1405,0.2450,EU,,,
Dell,Workplace,Desktop,1180,0.6170,347.55,4,EU,0.1492,0.3210,EU,,,
Dell,Workplace,Desktop,1820,0.7560,657.7,4,EU,0.1379,0.2100,EU,,,
Dell,Workplace,Desktop,1820,0.6880,597.21,4,EU,0.1511,0.2690,EU,,,
Dell,Workplace,Desktop,2518,0.7820,277.08,4,EU,0.1426,0.1870,EU,,,
Dell,Workplace,Desktop,2496,0.7380,875.34,4,EU,0.1402,0.2180,EU,,,
Dell,Workplace,Monitor,454,0.2170,31.3611,6,EU,0.2093,0.7070,CN,,,
Dell,Workplace,Monitor,491,0.2770,43.3155,6,EU,0.1955,0.6550,CN,,,
Dell,Workplace,Monitor,476,0.2740,41.4405,6,EU,0.2017,0.6560,CN,,,
Dell,Workplace,Monitor,463,0.2310,34.1163,6,EU,0.2030,0.6970,CN,,,
Dell,Workplace,Monitor,488,0.2790,43.3155,6,EU,0.1947,0.6470,CN,,,
Dell,Workplace,Monitor,478,0.2980,45.1905,6,EU,0.1946,0.6520,CN,,,
Dell,Workplace,Monitor,428,0.3200,43.3155,6,EU,0.1939,0.5900,CN,,,
Dell,Workplace,Monitor,654,0.3080,64.0905,6,EU,0.1758,0.6060,CN,,,
Dell,Workplace,Monitor,535,0.2990,50.9655,6,EU,0.2019,0.6520,CN,,,
Dell,Workplace,Monitor,476.0,0.249,37.79,6.0,EU,0.2017,0.682,China,,0.065,0.004
Dell,Workplace,Monitor,475.0,0.25,37.79,6.0,EU,0.2084,0.6829999999999999,China,,0.064,0.004
Dell,Workplace,Monitor,476.0,0.248,37.79,6.0,EU,0.2017,0.677,China,,0.071,0.004
Dell,Workplace,Monitor,477.0,0.248,37.79,6.0,EU,0.1992,0.6759999999999999,China,,0.07200000000000001,0.004
Dell,Workplace,Monitor,473.0,0.248,37.79,6.0,EU,0.2051,0.684,China,,0.064,0.004
Dell,Workplace,Monitor,684,0.2870,62.3687,6,EU,0.1740,0.6110,CN,,,
Dell,Workplace,Monitor,545,0.3400,54.4655,6,EU,0.2165,0.5300,CN,,,
Dell,Workplace,Monitor,549,0.2690,47.0655,6,EU,0.1821,0.6210,CN,,,
Dell,Workplace,Monitor,555.0,0.275,48.97,6.0,EU,0.1946,0.647,China,,0.07400000000000001,0.004
Dell,Workplace,Monitor,565.0,0.272,48.97,6.0,EU,0.1965,0.64,China,,0.083,0.005
Dell,Workplace,Monitor,523.0,0.281,46.57,6.0,EU,0.1912,0.639,China,,0.076,0.004
Dell,Workplace,Monitor,525.0,0.278,46.57,6.0,EU,0.1924,0.6409999999999999,China,,0.077,0.004
Dell,Workplace,Monitor,527.0,0.27699999999999997,46.57,6.0,EU,0.1992,0.635,China,,0.083,0.005
Dell,Workplace,Monitor,527.0,0.28,46.57,6.0,EU,0.1973,0.632,China,,0.083,0.005
Dell,Workplace,Monitor,524.0,0.27899999999999997,46.57,6.0,EU,0.1908,0.64,China,,0.077,0.004
Dell,Workplace,Monitor,615.0,0.35100000000000003,68.51,6.0,EU,0.1756,0.579,China,,0.067,0.004
Dell,Workplace,Monitor,449,0.2400,34.28565,6,EU,0.1893,0.6770,CN,,,
Dell,Workplace,Monitor,475,0.2120,32.0899,6,EU,0.2021,0.7000,CN,,,
Dell,Workplace,Monitor,386,0.2600,31.8843,6,EU,0.1891,0.6600,CN,,,
Dell,Workplace,Monitor,533,0.2340,39.5655,6,EU,0.1876,0.6550,CN,,,
Dell,Workplace,Monitor,522,0.2760,45.855,6,EU,0.1724,0.6330,CN,,,
Dell,Workplace,Monitor,533,0.2890,57.8175,6,EU,0.1689,0.6140,CN,,,
Dell,Workplace,Monitor,562,0.2030,36.2355,6,EU,0.2011,0.7010,CN,,,
Dell,Workplace,Monitor,530,0.2210,37.1925,6,EU,0.1792,0.6660,CN,,,
Dell,Workplace,Monitor,448,0.2150,30.683,6,EU,0.2031,0.7320,CN,,,
Dell,Workplace,Monitor,469,0.2540,37.8405,6,EU,0.1940,0.6960,CN,,,
Dell,Workplace,Monitor,505,0.3050,48.9405,6,EU,0.1842,0.6438,CN,,,
Dell,Workplace,Monitor,545,0.2010,33.9,6,EU,0.2183,0.7030,CN,,,
Dell,Workplace,Monitor,549,0.2000,34.9,6,EU,0.2131,0.7000,CN,,,
Dell,Workplace,Monitor,541,0.2030,33.9,6,EU,0.2218,0.7000,CN,,,
Dell,Workplace,Monitor,610.0,0.21,40.72,6.0,EU,0.1738,0.7120000000000001,China,,0,0
Dell,Workplace,Monitor,549.0,0.206,35.81,6.0,EU,0.2186,0.722,China,,0,0
Dell,Workplace,Monitor,461.0,0.213,31.39,6.0,EU,0.2104,0.721,China,,0,0
Dell,Workplace,Monitor,479.0,0.206,31.39,6.0,EU,0.2067,0.707,China,,0,0
Dell,Workplace,Monitor,538.0,0.242,41.72,6.0,EU,0.184,0.674,China,,0,0
Dell,Workplace,Monitor,479.0,0.206,31.39,6.0,EU,0.2067,0.707,China,,0,0
Dell,Workplace,Monitor,655.0,0.328,68.35,6.0,EU,0.1588,0.594,China,,0,0
Dell,Workplace,Monitor,655.0,0.328,68.35,6.0,EU,0.1588,0.594,China,,0,0
Dell,Workplace,Monitor,593.0,0.28,35.81,6.0,EU,0.2277,0.71,China,,0,0
Dell,Workplace,Monitor,569.0,0.2829999999999999,51.39,6.0,EU,0.1845,0.625,China,,0,0
Dell,Workplace,Monitor,643.0,0.328,66.74,6.0,EU,0.1664,0.588,China,,0,0
Dell,Workplace,Monitor,569.0,0.2829999999999999,51.39,6.0,EU,0.1845,0.625,China,,0,0
Dell,Workplace,Monitor,815.0,0.385,91.83,6.0,EU,0.2491,0.504,China,,0.105,0.006999999999999999
Dell,Workplace,Monitor,815.0,0.385,91.83,6.0,EU,0.2491,0.504,China,,0.105,0.006999999999999999
Dell,Workplace,Monitor,820.0,0.311,74.65,6.0,EU,0.2159,0.511,China,,0.16699999999999998,0.01
Dell,Workplace,Monitor,880.0,0.364,94.06,6.0,EU,0.2386,0.491,China,,0.136,0.009000000000000001
Dell,Workplace,Monitor,880.0,0.299,83.48,6.0,EU,0.3057,0.603,China,,0,0
Dell,Workplace,Monitor,802.0,0.35100000000000003,89.95,6.0,EU,0.1559,0.515,China,,0,0
Dell,Workplace,Monitor,926.0,0.40700000000000003,120.2,6.0,EU,0.1609,0.465,China,,0,0
Dell,Workplace,Monitor,1000.0,0.296,94.54,6.0,EU,0.159,0.563,China,,0,0
Dell,Workplace,Thin Client,70,0.3900,19.2,2,EU,0.4429,0.5900,CN,,,
Dell,Workplace,Thin Client,70,0.3900,19.2,2,EU,0.4429,0.5900,CN,,,
Dell,Workplace,Thin Client,63,0.4000,18.7,2,EU,0.4444,0.5900,CN,,,
Dell,Workplace,Thin Client,63,0.4000,18.7,2,EU,0.4444,0.5900,CN,,,
Dell,Workplace,Thin Client,86,0.5000,31.7,2,EU,0.3837,0.4800,CN,,,
Dell,Workplace,Thin Client,86,0.5000,31.7,2,EU,0.3837,0.4800,CN,,,
Dell,Workplace,Thin Client,89,0.5500,35.7,2,EU,0.3933,0.4500,CN,,,
Dell,Workplace,Thin Client,89,0.5500,35.7,2,EU,0.3933,0.4500,CN,,,
Dell,Workplace,Thin Client,94,0.5100,35.38,2,EU,0.4894,0.4800,CN,,,
Dell,Workplace,Thin Client,197,0.6700,96.4,2,EU,0.3706,0.3100,CN,,,
Dell,Workplace,Thin Client,197,0.6700,96.4,2,EU,0.3706,0.3100,CN,,,
Dell,Workplace,Thin Client,144,0.7000,73.67,2,EU,0.3958,0.2900,CN,,,
Dell,Workplace,Thin Client,100,0.5600,41,2,EU,0.3700,0.4200,CN,,,
Dell,Workplace,Thin Client,115,0.4100,34.7,2,EU,0.5913,0.5700,CN,,,
Dell,Workplace,Thin Client,103,0.5400,40.4,2,EU,0.3883,0.4400,CN,,,
Dell,Workplace,Thin Client,106,0.5500,43,2,EU,0.3679,0.4300,CN,,,
Dell,Workplace,Thin Client,108,0.5500,43.78,2,EU,0.4722,0.4300,CN,,,
Dell,Workplace,Thin Client,122,0.6100,53.79,2,EU,0.6639,0.3700,CN,,,
Dell,Workplace,Laptop,372.0,0.17,30.14,4.0,EU,0.1962,0.797,China,,0,0
Dell,Workplace,Laptop,327.0,0.13,20.25,4.0,EU,0.2294,0.8370000000000001,China,,0,0
Dell,Workplace,Laptop,342.0,0.11599999999999999,18.89,4.0,EU,0.2193,0.836,China,,0,0
Dell,Workplace,Laptop,322.0,0.139,21.43,4.0,EU,0.2174,0.814,China,,0,0
Dell,Workplace,Laptop,286,0.2000,29.92,4,EU,0.1748,0.7620,CN,,,
Dell,Workplace,Laptop,286,0.2000,29.92,4,EU,0.1748,0.7620,CN,,,
Dell,Workplace,Laptop,287,0.1680,25.1,4,EU,0.1742,0.7980,CN,,,
Dell,Workplace,Laptop,297,0.1240,19.15,4,EU,0.1751,0.8300,CN,,,
Dell,Workplace,Laptop,317.0,0.11699999999999999,17.83,4.0,EU,0.2524,0.846,China,,0,0
Dell,Workplace,Laptop,380.0,0.153,27.87,4.0,EU,0.1974,0.8009999999999999,China,,0,0
Dell,Workplace,Laptop,380.0,0.153,27.87,4.0,EU,0.1974,0.8009999999999999,China,,0,0
Dell,Workplace,Laptop,431.0,0.11599999999999999,23.75,4.0,EU,0.2019,0.833,China,,0.048,0.003
Dell,Workplace,Laptop,337,0.2130,37.02,4,EU,0.2047,0.7470,CN,,,
Dell,Workplace,Laptop,324,0.1790,29.95,4,EU,0.1944,0.7760,CN,,,
Dell,Workplace,Laptop,509.0,0.09,21.67,4.0,EU,0.224,0.858,China,,0.049,0.003
Dell,Workplace,Laptop,509.0,0.09,21.67,4.0,EU,0.224,0.858,China,,0.049,0.003
Fairphone,Workplace,Smartphone,39.5,0.212,,3,EU,,0.815,China,,,
Fairphone,Workplace,Smartphone,49.9,0.248,,5,EU,,0.737,China,,0.047,0.042
