country,code,year,gwp_emission_factor,pe_emission_factor,adp_emission_factor,source
Austria,AUT,2022,0.158,0,0,'Ember Climate, CO2.js'
Belgium,BEL,2022,0.165,0,0,'Ember Climate, CO2.js'
Bulgaria,BGR,2022,0.400,0,0,'Ember Climate, CO2.js'
China,CN,2022,0.534,0,0,'Ember Climate, CO2.js'
Croatia,HRV,2022,0.246,0,0,'Ember Climate, CO2.js'
Cyprus,CYP,2022,0.589,0,0,'Ember Climate, CO2.js'
Czechia,CZE,2022,0.415,0,0,'Ember Climate, CO2.js'
Denmark,DNK,2022,0.181,0,0,'Ember Climate, CO2.js'
EU-27,EU-27,2022,0.277,0,0,'Ember Climate, CO2.js'
EU27+1,EU27+1,2022,0.297,0,0,'Ember Climate, CO2.js'
Estonia,EST,2022,0.464,0,0,'Ember Climate, CO2.js'
Finland,FIN,2022,0.131,0,0,'Ember Climate, CO2.js'
France,FRA,2022,0.085,0,0,'Ember Climate, CO2.js'
Germany,DEU,2022,0.385,0,0,'Ember Climate, CO2.js'
Greece,GRC,2022,0.344,0,0,'Ember Climate, CO2.js'
Hungary,HUN,2022,0.223,0,0,'Ember Climate, CO2.js'
Ireland,IRL,2022,0.346,0,0,'Ember Climate, CO2.js'
Italy,ITA,2022,0.372,0,0,'Ember Climate, CO2.js'
Latvia,LVA,2022,0.182,0,0,'Ember Climate, CO2.js'
Lithuania,LTU,2022,0.194,0,0,'Ember Climate, CO2.js'
Luxembourg,LUX,2022,0.168,0,0,'Ember Climate, CO2.js'
Malta,MLT,2022,0.495,0,0,'Ember Climate, CO2.js'
Netherlands,NLD,2022,0.356,0,0,'Ember Climate, CO2.js'
Poland,POL,2022,0.635,0,0,'Ember Climate, CO2.js'
Portugal,PRT,2022,0.234,0,0,'Ember Climate, CO2.js'
Romania,ROU,2022,0.264,0,0,'Ember Climate, CO2.js'
Slovakia,SVK,2022,0.141,0,0,'Ember Climate, CO2.js'
Slovenia,SVN,2022,0.237,0,0,'Ember Climate, CO2.js'
Spain,ESP,2022,0.217,0,0,'Ember Climate, CO2.js'
Sweden,SWE,2022,0.045,0,0,'Ember Climate, CO2.js'
United States,USA,2022,0.367,0,0,'Ember Climate, CO2.js'
United Kingdom,GBR,2022,0.261,0,0,'Ember Climate, CO2.js'